match_id,team_id,cross_line,auton_ci_switch,auton_ci_scale,auton_cube_count,cube_count,cube_switch,cube_scale,cube_vault,fouls,tech_fouls,endgame_action,helping_robot,comments
23,4327,FALSE,FALSE,FALSE,0,0,2,0,5,0,0,1,FALSE,
16,5144,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,2,FALSE,
15,2832,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,2,FALSE,
16,5144,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,2,FALSE,"did nothing
"
17,5050,FALSE,TRUE,FALSE,0,8,2,5,0,0,0,0,FALSE,best bot ive seen... should have had a compression grabber
20,5567,FALSE,TRUE,FALSE,0,6,0,0,6,0,0,2,FALSE,
21,6013,TRUE,FALSE,FALSE,0,2,0,1,0,0,0,1,FALSE,
22,4568,TRUE,FALSE,FALSE,0,2,0,0,2,0,0,1,FALSE,
23,6029,FALSE,FALSE,FALSE,0,6,0,0,6,0,0,2,FALSE,
24,2832,FALSE,FALSE,FALSE,0,3,3,0,0,0,0,0,FALSE,
25,3322,TRUE,FALSE,FALSE,0,4,0,0,5,0,0,1,FALSE,
26,3656,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,
27,5448,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,1,FALSE,
29,6538,TRUE,FALSE,FALSE,0,0,0,0,4,0,0,2,FALSE,vault fpcused
41,6852,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,2,FALSE,
41,6852,FALSE,TRUE,FALSE,0,3,3,0,0,0,0,1,FALSE,"defensive
on oppositiions switch
no scale no climb"
41,6852,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,2,FALSE,
42,7147,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,2,FALSE,"they didn't puck up any cubes.
 just a drove around in one spot over and over again.
Did get up on the platform
 "
43,5066,FALSE,FALSE,FALSE,2,2,0,0,3,0,0,1,TRUE,"able to hold two robots on with their robot on the platform.
they picked up at least two cubes.
where able to put cube kn the vault and activate them.
"
51,3322,FALSE,FALSE,TRUE,4,4,0,4,0,0,0,0,FALSE,"quick at getting cubs
they have a god concept on the way they put their cubes onto the scale.able to climb
did not help any of the other robots climb
 "
60,3322,TRUE,TRUE,FALSE,1,5,0,0,4,0,0,0,FALSE,"dropped cube at end after attempt to take control over their switch, fast at climbing"
61,4395,FALSE,TRUE,FALSE,1,9,1,0,9,0,0,1,FALSE,
62,5067,TRUE,FALSE,FALSE,1,2,1,1,0,0,0,1,FALSE,
63,5144,FALSE,FALSE,FALSE,1,2,0,0,2,0,0,2,FALSE,
64,6150,TRUE,FALSE,FALSE,1,2,0,2,0,0,0,1,FALSE,"can reach the scale well, picked cubes up but kept hitting scale side and falling off"
65,5853,TRUE,FALSE,FALSE,1,1,1,0,0,0,0,1,FALSE,"played kinda rough didnt get tech fouls but they probablh should have, for lots of assaulting to other team bot"
66,6013,TRUE,TRUE,FALSE,1,3,0,0,3,0,0,0,FALSE,
67,910,FALSE,FALSE,FALSE,1,9,6,3,0,0,0,2,FALSE,
68,1023,TRUE,FALSE,FALSE,1,4,0,4,0,0,0,1,FALSE,
69,6081,TRUE,FALSE,FALSE,1,2,0,0,0,0,1,2,FALSE,"auton almost had scale threw cube on it but bounced off. got stuck on scale, pulling down their side after almost falling, giving tech foul"
70,5144,FALSE,FALSE,FALSE,1,1,0,0,0,0,0,1,FALSE,
71,5708,TRUE,FALSE,FALSE,1,2,0,0,0,0,0,1,FALSE,
72,4568,TRUE,FALSE,FALSE,1,6,1,0,5,0,0,1,FALSE,
73,5216,FALSE,FALSE,FALSE,1,7,2,0,5,0,0,1,FALSE,"The robot could climb, but it lowered itself last."
74,910,FALSE,TRUE,FALSE,1,8,2,3,0,0,0,2,FALSE,Cubes fell of the scale at times.
75,6618,TRUE,FALSE,FALSE,1,10,2,0,8,0,0,2,FALSE,
