Timestamp,Team Number,Match Number,Crosses the auto line (auto-run),Switch capabilities,Scale capabilities,Number of cubes in auton,Number of Cubes on Own Switch,Number of Cubes on Scale,Number of Cubes in Exchange,Climb,Played Good Defense,Extra Notes,Number of Cubes on Opponent's Switch
3/16/2018 15:44,3322,25,Yes,No,No,0,0,0,4,Parked,No,,0
3/16/2018 15:00,3322,20,Yes,No,No,0,0,0,3,Parked,No,,0
3/16/2018 16:59,3322,33,No,Same side,Attemped and close twice,0,2,0,1,"Parked, Close to climbing, 3414? Got in the way",No,,0
3/16/2018 12:12,3322,8,Yes,No,No,0,1,3,0,Parked,No,,0
3/16/2018 17:34,3322,37,Yes,No,No,0,0,3,0,No,No,,0
3/16/2018 18:26,3322,42,Yes,Failed,No,0,0,3,0,Parked,No,,0
3/16/2018 19:24,3322,51,Yes,No,No,0,1,3,0,No,No,,0
3/16/2018 19:45,3322,54,Yes,Same side,No,1,0,3,0,Parked,No,climber failed ,0
3/17/2018 10:10,3322,66,Yes,No,No,0,3,3,0,Parked,Yes,,0
3/17/2018 10:50,3322,72,Yes,No,No,0,0,2,0,Parked,Yes,Broke partway through,0
3/16/2018 16:59,3414,33,Yes,No,No,0,0,2,3,No,No,,0
3/16/2018 16:19,3414,29,Yes,No,No,0,0,3,2,No,No,Dropped cube twice.,0
3/16/2018 11:14,3414,2,Yes,No,No,0,1,1,1,"Parked, Broken wings",No,Broken side lifting mechanism,0
3/16/2018 15:00,3414,20,No,Same side,No,1,1,3,0,Yes,No,,0
3/16/2018 12:33,3414,10,Yes,No,No,0,0,2,0,Parked,No,A cube got stuck in the robot,0
3/16/2018 13:05,3414,14,Yes,Same side,No,0,1,2,0,No,No,,1
3/16/2018 18:05,3414,40,Yes,No,No,0,0,2,0,Parked,No,They put all cubes on the wrong side of the scale.,0
3/16/2018 19:03,3414,48,Yes,No,No,0,1,2,0,Parked,No,,0
3/16/2018 20:22,3414,59,Yes,No,No,0,2,1,0,No,No,,0
3/17/2018 10:29,3414,69,Yes,Same side,No,1,1,0,0,No,No,,0
3/17/2018 10:22,3542,68,Yes,Same side,Yes,1,1,5,1,Yes,No,,0
3/16/2018 17:42,3542,38,Yes,No,Yes,0,0,7,0,Parked,Yes,,0
3/16/2018 11:04,3542,1,Yes,Same side,Yes,1,0,6,0,No,No,,0
3/16/2018 16:41,3542,31,Yes,Same side,Yes,1,1,5,0,Yes,Yes,,0
3/16/2018 16:41,3542,31,Yes,Same side,Yes,1,0,5,0,Yes,No,,0
3/17/2018 10:02,3542,65,Yes,Same side,Yes,1,0,5,0,"Parked, No",No,,0
3/16/2018 12:23,3542,9,Yes,In the middle,No,1,0,7,0,No,No,Basically won the whole game for their team,0
3/16/2018 19:31,3542,52,Yes,No,No,0,0,7,0,Parked,No,,0
3/16/2018 15:01,3542,20,Yes,Same side,No,1,0,3,0,No,No,Dropped 4 cubes.,0
3/16/2018 20:07,3542,57,Yes,Same side,No,1,0,0,0,No,No,Lost comms ,0
3/16/2018 16:42,3547,31,Yes,Same side,No,1,0,0,7,Parked,No,,0
