match_id,team_id,cross_line,auton_ci_switch,auton_ci_scale,auton_cube_count,cube_count,cube_switch,cube_scale,cube_vault,fouls,tech_fouls,endgame_action,helping_robot,comments
1,4216,False,False,False,0,3,0,3,0,0,0,2,False,"not sure about auton, but great for scale"
2,4384,False,False,False,0,1,1,0,0,0,0,1,False,arm broke early in the match
3,7225,False,False,False,0,12,3,0,9,0,0,1,False,focused on powwer cubes
4,5205,False,False,False,1,5,0,0,5,0,0,2,False,
5,5523,False,False,False,0,7,7,0,0,0,0,1,False,OPPONENTS SWITCH ONLY
6,1718,True,True,False,1,3,0,2,0,0,0,1,True,
7,7225,True,False,False,0,8,1,0,7,0,0,1,False,
8,3536,False,True,False,2,2,0,2,0,0,0,0,False,two cubes in switch in auton
9,2676,True,False,False,0,0,1,0,0,0,0,0,False,rainbow jerry intake is unreliable
10,6029,True,False,False,0,0,0,0,0,0,0,2,False,"almost tipped over once
actually tipped over later"
11,6528,True,False,False,0,0,0,0,0,0,0,2,False,the robot would have done better as a totebot
27,4810,False,False,False,0,0,0,0,0,0,0,1,False,
28,3536,True,True,False,0,5,0,5,0,0,0,0,False,
29,5263,False,False,False,0,4,4,0,0,0,0,2,False,
30,6101,True,False,False,0,0,0,0,1,0,0,0,False,
31,862,True,False,False,1,2,0,3,0,0,0,0,False,jerry
32,6029,True,False,False,0,0,0,0,4,0,0,1,False,
33,4810,True,False,False,1,1,1,0,0,0,0,1,False,
34,4405,True,False,False,0,6,2,1,3,0,0,0,False,
35,123,True,False,False,1,1,0,2,0,0,0,0,False,
36,4327,True,False,False,0,9,0,0,9,0,0,1,False,
37,4216,True,True,False,0,3,1,2,0,0,0,2,False,
38,6528,True,False,False,0,0,0,0,4,0,0,2,False,
39,6852,True,False,False,1,3,4,0,0,0,0,1,False,
40,6570,True,False,False,1,1,1,1,0,0,0,0,False,
41,123,True,False,False,1,2,0,3,0,0,0,2,False,
42,2676,False,False,False,0,0,0,0,0,0,0,2,False,MISSED MATCH
43,2620,True,False,False,0,2,0,1,0,0,0,0,False,
44,830,True,False,False,1,1,1,0,0,0,0,2,False,
45,3604,False,False,False,0,2,0,2,0,0,0,2,False,KNOCKED OVER!!!!!!
46,6914,True,False,False,0,3,0,0,3,0,0,2,False,
47,2620,True,False,False,1,2,0,1,0,0,0,2,False,
48,280,True,False,False,1,3,0,1,2,0,0,1,False,
49,3875,True,False,False,1,3,2,2,0,0,0,2,False,
50,1188,True,False,False,0,3,0,0,3,0,0,1,False,
51,280,True,False,False,1,1,0,1,0,0,0,1,False,
52,4810,True,False,False,0,3,3,0,0,0,0,1,False,
60,4453,False,False,False,0,1,0,0,0,0,0,1,False,
61,3655,True,False,False,0,1,0,0,1,0,0,1,False,
62,5205,True,False,False,0,9,0,0,7,0,0,2,False,
63,7174,True,False,False,0,6,0,0,4,0,0,1,False,
64,6101,False,False,False,0,0,0,0,0,0,0,2,False,"rainbow played D the whole time, lets not"
65,6618,True,False,False,0,6,5,0,0,0,0,1,False,
66,1023,False,False,False,0,6,1,5,0,0,0,0,False,
67,6029,False,False,False,0,1,0,0,0,0,0,2,False,
68,862,False,True,False,0,5,0,5,0,0,0,1,False,
69,3875,False,True,False,0,5,0,3,0,0,0,1,False,
70,5066,False,False,False,0,0,0,0,0,0,0,1,False,
71,862,False,True,False,0,4,0,4,0,0,0,1,False,
72,6914,False,False,False,0,1,1,0,0,0,0,0,False,no one cares not as good as us
